Gene Names
Cstf2t
Tap2
Osbpl8
RTRAF
Tmem87a
Psmg3
Dguok
Usp15
Hspa14
Tbcd
Adprh
Uchl3
Fasn
Fkbp4
Ifi205a
Serpinc1
Snrpb2
Atg4b
Tmtc3
Rpa1
Atxn2
Hscb
Sssca1
Arxes2
Galm
Rps21
Tbl1xr1
Cse1l
Cfap36
Atp6v1d
Rpa3
Abracl
Gid8
Pfn2
Wdr26
Dnajc3
Sf3b5
Txndc5
Rnf213
Plod3
Ifit1
Crtap
Cd109
Crkl
Klkb1
Tubgcp3
Necap1
Cisd2
Btk
Arpp19
Ltbp4
Gm10320
Fnta
Sfr1
Fbxo4
Nsun2
Yipf5
Galnt7
Cux1
Rbbp7
Usp24
Baiap2
Chd5
Mt1
Dnaja3
Ythdf2
Irf5
Hmgcs1
Tbl1x
Slfn5
Exosc10
Gsdme
Gm49368
Arhgap18
Rnaset2a
Lcmt1
Rgs19
Nfatc1
Emc8
Slc4a2
Mgat2
Nemf
Ascc2
Ifi44
Adprhl2
H2-L
Cbx3
Rps29
Sms
Prpf4b
Dpp9
Was
Ppic
Ppp1r11
Hsd3b7
Apob
Trappc1
AI837181
Pnn
Nckap1
Pbxip1
Spag9
Hspb11
Snf8
Hk3
Pdia5
Irak4
Mcm5
Ccdc90b
Nes
Rpap3
Wbp11
G3bp1
Dhrs11
Bcas3
Efemp1
Prkx
Isg15
Rgn
Cnot7
Emc2
Mtor
Wwc2
Tnpo1
Pef1
Gbp4
Sphk1
Mcm2
Lrch1
Wbp2
Camk1d
Ncapd2
Stk24
Commd7
Micall2
Csnk1g1
Mad2l1
Nlrx1
Angptl3
Relch
Nfs1
Evl
Mcm6
Znf622
Caap1
Retreg3
Nup88
Ypel5
Sec61b
Trabd
Myo1g
Dctn4
Cblb
Rad50
Pbp2
Gmds
Plin2
Mut
Hmgn5
Kyat3
Tmem120a
Pes1
Nemp1
Clpx
Nit1
Timp3
Mrpl9
Cept1
Mlkl
Tjp1
Cd14
Ankle2
Gbp9
Dhx36
Fcgr3
Mtatp8
Ranbp9
Prpf4
Rfc4
Hps3
Alb
Xpnpep3
Psph
Trmt1
Klc4
Akap8
Oaf
Cul4b
Nxf1
Arfgef1
Lsm3
Ddx18
Slk
Otud6b
Mcoln1
Grb10
Tubb2a
Vnn1
Lamb1
Fam91a1
Bloc1s4
Hccs
Pdcd5
Pklr
Tmem11
Mios
Casp7
Wdr77
Cdh5
Nxn
Ate1
Aagab
Birc6
Nup133
Polr2b
Hist1h3i
Wisp2
Snx13
Gtf2f1
Ddrgk1
Qrich1
Gde1
Ppp1r14b
Sbf1
Atp2c1
Ssr3
Zfr
Ms4a6d
Efemp2
Ccar2
Cryzl1
Hps6
Akap10
Wdfy4
Scg3
Brat1
Pzp
Aga
Engase
Gamt
Ints10
Maea
Alcam
Eif2d
Itga11
